candidate_id,rank,score,reasoning
CAND_0005260,1,0.875108,"Senior NLP Engineer at Netflix — 5.2 yrs exp, deep in Embeddings (95mo), NLP (60mo); Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD; highly responsive (86%); concern: needs relocation from Chennai, Tamil Nadu."
CAND_0018499,2,0.874163,"Senior Machine Learning Engineer at Zomato — 7.2 yrs exp, deep in Weaviate (88mo), Embeddings (65mo); Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing; available in 15d."
CAND_0046525,3,0.86629,"Senior Machine Learning Engineer at Genpact AI — 6.1 yrs exp, deep in Sentence Transformers (74mo), Machine Learning (70mo); Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over; highly responsive (88%)."
CAND_0081846,4,0.861385,"Lead AI Engineer at Razorpay — 6.7 yrs exp, deep in Embeddings (95mo), Information Retrieval (93mo); Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing; available in 30d; concern: needs relocation from Jaipur, Rajasthan."
CAND_0039754,5,0.852907,"Senior Applied Scientist at Meta — 16.2 yrs exp, deep in Python (95mo), OpenSearch (71mo); Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate; available in 30d; concern: over-experienced (16.2 yrs)."
CAND_0077337,6,0.849445,"Staff Machine Learning Engineer at Paytm — 7.0 yrs exp, deep in Recommendation Systems (86mo), Python (82mo); Built and shipped a production recommendation system at a marketplace product, going from offline; highly responsive (95%); concern: needs relocation from Kochi, Kerala."
CAND_0086022,7,0.84569,"Senior Applied Scientist at Sarvam AI — 5.3 yrs exp, deep in PyTorch (94mo), Sentence Transformers (80mo); Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing; active GitHub (75.2); concern: needs relocation from Kolkata, West Bengal."
CAND_0080766,8,0.836131,"Staff Machine Learning Engineer at Salesforce — 8.8 yrs exp, deep in TensorFlow (94mo), Search & Discovery (74mo); Shipped the personalization infrastructure: the system that learns from user behavior and improves; concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0007411,9,0.826038,"Senior Machine Learning Engineer at Amazon — 8.0 yrs exp, deep in OpenSearch (86mo), PyTorch (73mo); Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate; available in 15d; concern: low response rate (12%)."
CAND_0094759,10,0.821837,"Lead AI Engineer at Meta — 8.6 yrs exp, deep in Hugging Face Transformers (72mo), Fine-tuning LLMs (65mo); Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over; available in 30d; concern: low response rate (11%)."
CAND_0055992,11,0.805047,"AI Engineer at CRED — 16.9 yrs exp, deep in FAISS (96mo), Fine-tuning LLMs (62mo); Implemented a RAG-based customer support chatbot integrated with our existing ticketing system; highly responsive (72%); concern: over-experienced (16.9 yrs)."
CAND_0042029,12,0.802251,"Senior Data Scientist at Flipkart — 6.5 yrs exp, deep in OpenSearch (96mo), PyTorch (90mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; active GitHub (78.7)."
CAND_0028793,13,0.795899,"Search Engineer at Google — 7.2 yrs exp, deep in LoRA (92mo), Embeddings (78mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; active GitHub (83.1); concern: long notice (120d)."
CAND_0037980,14,0.795556,"Senior Applied Scientist at Niramai — 9.0 yrs exp, deep in LoRA (75mo), PyTorch (63mo); Designed the ranking layer for the company's flagship product: how do we surface the right thing at; concern: needs relocation from Kolkata, West Bengal."
CAND_0044883,15,0.791664,"AI Engineer at Mad Street Den — 6.3 yrs exp, deep in PyTorch (86mo), QLoRA (80mo); Implemented a RAG-based customer support chatbot integrated with our existing ticketing system; highly responsive (84%); concern: needs relocation from Berlin."
CAND_0041610,16,0.78419,"Recommendation Systems Engineer at Zoho — 6.7 yrs exp, deep in Elasticsearch (94mo), OpenSearch (82mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; available in 30d; concern: needs relocation from Indore, Madhya Pradesh."
CAND_0096142,17,0.782499,"Applied ML Engineer at upGrad — 5.0 yrs exp, deep in Python (72mo), Pinecone (62mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; highly responsive (84%); concern: long notice (120d)."
CAND_0018549,18,0.780058,"Recommendation Systems Engineer at Uber — 6.8 yrs exp, deep in Milvus (79mo), Qdrant (74mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; highly responsive (73%); concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0011162,19,0.778709,"Recommendation Systems Engineer at upGrad — 5.8 yrs exp, deep in FAISS (94mo), OpenSearch (89mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; highly responsive (75%); concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0006557,20,0.778111,"NLP Engineer at Paytm — 7.9 yrs exp, deep in Vector Search (91mo), FAISS (85mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; concern: long notice (120d)."
CAND_0018722,21,0.777252,"Recommendation Systems Engineer at Saarthi.ai — 6.6 yrs exp, deep in Hugging Face Transformers (88mo), Weaviate (86mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; highly responsive (79%); concern: needs relocation from Toronto."
CAND_0068811,22,0.776926,"Applied ML Engineer at Freshworks — 8.0 yrs exp, deep in Pinecone (86mo), Vector Search (79mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; available in 30d."
CAND_0091909,23,0.776165,"Machine Learning Engineer at Rephrase.ai — 6.9 yrs exp, deep in Hugging Face Transformers (94mo), QLoRA (89mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; concern: needs relocation from Bangalore, Karnataka."
CAND_0010257,24,0.775249,"Senior Data Scientist at Google — 6.5 yrs exp, deep in Python (86mo), Milvus (72mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; highly responsive (72%); concern: long notice (120d)."
CAND_0045250,25,0.774458,"Applied ML Engineer at Rephrase.ai — 6.6 yrs exp, deep in TensorFlow (85mo), Vector Search (82mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; available in 15d."
CAND_0006418,26,0.774301,"Machine Learning Engineer at Verloop.io — 5.7 yrs exp, deep in Weaviate (93mo), Embeddings (71mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; highly responsive (92%)."
CAND_0044855,27,0.773801,"Senior Data Scientist at Flipkart — 6.6 yrs exp, deep in Information Retrieval (91mo), OpenSearch (81mo); Implemented a RAG-based customer support chatbot integrated with our existing ticketing system; concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0060054,28,0.773076,"AI Engineer at Mad Street Den — 6.4 yrs exp, deep in Recommendation Systems (87mo), TensorFlow (84mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; available in 15d; concern: needs relocation from Jaipur, Rajasthan."
CAND_0057563,29,0.772591,"NLP Engineer at Locobuzz — 6.8 yrs exp, deep in OpenSearch (94mo), Elasticsearch (61mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; highly responsive (83%); concern: needs relocation from Indore, Madhya Pradesh."
CAND_0030468,30,0.771728,"Senior Applied Scientist at Swiggy — 5.4 yrs exp, deep in OpenSearch (95mo), Milvus (85mo); Led the engineering team building infrastructure to surface relevant content to users at scale; highly responsive (78%); concern: needs relocation from Indore, Madhya Pradesh."
CAND_0007009,31,0.771562,"Recommendation Systems Engineer at Wysa — 7.9 yrs exp, deep in OpenSearch (96mo), Python (95mo); Implemented a RAG-based customer support chatbot integrated with our existing ticketing system; available in 30d."
CAND_0031593,32,0.771417,"Search Engineer at Genpact AI — 7.8 yrs exp, deep in Embeddings (94mo), Elasticsearch (58mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; concern: needs relocation from Kolkata, West Bengal."
CAND_0083879,33,0.767529,"Machine Learning Engineer at Ola — 7.1 yrs exp, deep in Fine-tuning LLMs (90mo), Sentence Transformers (51mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; available in 30d."
CAND_0081053,34,0.766484,"NLP Engineer at Glance — 5.4 yrs exp, deep in Semantic Search (84mo), Machine Learning (79mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; highly responsive (83%); concern: needs relocation from Chandigarh, Chandigarh."
CAND_0042100,35,0.762478,"Machine Learning Engineer at Freshworks — 7.3 yrs exp, deep in Recommendation Systems (85mo), QLoRA (84mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; highly responsive (87%); concern: needs relocation from Singapore."
CAND_0087630,36,0.76128,"AI Engineer at Vedantu — 7.2 yrs exp, deep in QLoRA (92mo), Hugging Face Transformers (78mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; available in 30d."
CAND_0006567,37,0.758525,"Senior AI Engineer at Meta — 7.9 yrs exp, deep in Python (68mo), Ranking Systems (60mo); Built systems that understand what users are looking for and connect them to the most relevant; highly responsive (79%)."
CAND_0039383,38,0.757745,"Applied ML Engineer at Meesho — 7.1 yrs exp, deep in pgvector (94mo), QLoRA (71mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; active GitHub (86.4)."
CAND_0009691,39,0.757322,"Applied ML Engineer at LinkedIn — 6.2 yrs exp, deep in LoRA (89mo), Fine-tuning LLMs (68mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; active GitHub (67.8); concern: long notice (120d)."
CAND_0027691,40,0.755618,"NLP Engineer at Haptik — 6.5 yrs exp, deep in Recommendation Systems (92mo), TensorFlow (86mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; available in 15d."
CAND_0010770,41,0.755166,"Recommendation Systems Engineer at Aganitha — 15.2 yrs exp, deep in TensorFlow (66mo), Qdrant (53mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; available in 30d; concern: over-experienced (15.2 yrs)."
CAND_0066999,42,0.754898,"Recommendation Systems Engineer at Microsoft — 5.9 yrs exp, deep in Machine Learning (58mo), FAISS (54mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; available in 15d."
CAND_0066376,43,0.754077,"Applied ML Engineer at Dream11 — 5.7 yrs exp, deep in FAISS (84mo), Semantic Search (84mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with."
CAND_0061257,44,0.746823,"Staff Machine Learning Engineer at LinkedIn — 8.0 yrs exp, deep in Search Infrastructure (83mo), Python (72mo); Designed the ranking layer for the company's flagship product: how do we surface the right thing at; available in 30d."
CAND_0099401,45,0.74596,"NLP Engineer at Dream11 — 7.7 yrs exp, deep in Semantic Search (89mo), Qdrant (71mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; concern: needs relocation from Ahmedabad, Gujarat."
CAND_0047721,46,0.744905,"Senior Data Scientist at Microsoft — 7.0 yrs exp, deep in Qdrant (94mo), NLP (74mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; active GitHub (90.1); concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0068351,47,0.744802,"Lead AI Engineer at Sarvam AI — 6.4 yrs exp, deep in Qdrant (78mo), pgvector (77mo); Owned the search and discovery experience end-to-end at a consumer product, from how content is; highly responsive (86%)."
CAND_0060072,48,0.744359,"Staff Machine Learning Engineer at Amazon — 5.7 yrs exp, deep in Pinecone (65mo), Sentence Transformers (60mo); Built and shipped a production recommendation system at a marketplace product, going from offline; active GitHub (82.4); concern: low response rate (10%)."
CAND_0061265,49,0.744229,"Recommendation Systems Engineer at Zoho — 6.6 yrs exp, deep in Qdrant (76mo), Hugging Face Transformers (73mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; highly responsive (94%); concern: long notice (120d)."
CAND_0079284,50,0.743963,"Machine Learning Engineer at Google — 4.9 yrs exp, deep in Elasticsearch (95mo), Machine Learning (84mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; available in 30d; concern: under JD floor (4.9 yrs)."
CAND_0024466,51,0.742874,"Search Engineer at PharmEasy — 5.2 yrs exp, deep in LoRA (92mo), Sentence Transformers (60mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; concern: long notice (120d)."
